date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986900345,1.0000000012846533,46303774477
2024-12-25,1.0,0.9999999984882383,1.0000000014739137,46303774477
2024-12-26,1.0,0.9999999981370321,1.000000001908063,46303774477
2024-12-27,1.0,0.999999997555834,1.000000003002027,46303774477
2024-12-28,1.0,0.9999999962339664,1.0000000039151635,46303774477
2024-12-29,1.0,0.9999999943963115,1.0000000052223303,46303774477
2024-12-30,1.0,0.9999999924213574,1.0000000072702644,46303774477
2024-12-31,1.0,0.9999999909935935,1.0000000094783794,46303774477
2025-01-01,1.0,0.9999999884161563,1.0000000119680175,46303774477
2025-01-02,1.0,0.9999999868104897,1.000000014066175,46303774477
2025-01-03,1.0,0.9999999846239088,1.000000016934183,46303774477
2025-01-04,1.0,0.9999999817456107,1.0000000186311075,46303774477
2025-01-05,1.0,0.9999999803584655,1.0000000213709432,46303774477
2025-01-06,1.0,0.9999999762103406,1.0000000244402512,46303774477
2025-01-07,1.0,0.9999999726981786,1.0000000277511318,46303774477
2025-01-08,1.0,0.9999999698574863,1.0000000314822728,46303774477
2025-01-09,1.0,0.9999999670105848,1.0000000344029345,46303774477
2025-01-10,1.0,0.9999999650383735,1.0000000371715063,46303774477
2025-01-11,1.0,0.9999999613620596,1.0000000411160823,46303774477
2025-01-12,1.0,0.9999999572786032,1.0000000451465052,46303774477
2025-01-13,1.0,0.9999999535317832,1.0000000479857791,46303774477
2025-01-14,1.0,0.9999999503626213,1.0000000516349195,46303774477
2025-01-15,1.0,0.9999999475233337,1.000000056371904,46303774477
2025-01-16,1.0,0.999999943062009,1.0000000597721674,46303774477
2025-01-17,1.0,0.9999999401731545,1.0000000648137461,46303774477
2025-01-18,1.0,0.9999999362471816,1.0000000680454977,46303774477
2025-01-19,1.0,0.9999999312682509,1.0000000716391046,46303774477
2025-01-20,1.0,0.9999999290827541,1.0000000748892395,46303774477
2025-03-04,1.9999996656589085,1.999999665657487,1.9999996656603702,46303862950
2025-03-05,1.9999996656589087,1.9999996656574894,1.9999996656604355,46303862950
2025-03-06,1.9999996656589092,1.999999665657352,1.9999996656605892,46303862950
2025-03-07,1.9999996656589094,1.999999665657086,1.9999996656607335,46303862950
2025-03-08,1.9999996656589096,1.9999996656569319,1.999999665661175,46303862950
2025-03-09,1.99999966565891,1.9999996656567276,2.0000010180380627,46303862950
2025-03-10,1.9999996656589103,1.999999665655955,2.0000353963277746,46303862950
2025-03-11,1.9999996656589105,1.9999653096753154,2.00006770601988,46303862950
2025-03-12,1.9999996656589107,1.9999206906320868,2.000106490966135,46303862950
2025-03-13,1.9999996656589112,1.999853210451157,2.0001759409763658,46303862950
2025-03-14,1.9999996656589114,1.999740796034899,2.0002541695443257,46303862950
2025-03-15,1.9999996656589116,1.9996562538007794,2.0003359918891435,46303862950
2025-03-16,1.9999996656589119,1.9995862534989257,2.0004365048821966,46303862950
2025-03-17,1.9999996656589123,1.9994399228329167,2.0005306021746434,46303862950
2025-03-18,1.9999996656589125,1.9993487144558129,2.0006650902296013,46303862950
2025-03-19,1.9999996656589127,1.9992360679095105,2.000751845852429,46303862950
2025-03-20,1.9999996656589132,1.999136139081585,2.000871122872406,46303862950
2025-03-21,1.9999996656589134,1.9990480751323634,2.0010695796330347,46303862950
2025-03-22,1.9999996656589136,1.9989960999947731,2.001184825391074,46303862950
2025-03-23,1.9999996656589138,1.9988538496967212,2.0013106840741406,46303862950
2025-03-24,1.9999996656589143,1.9987647290996993,2.001484038315333,46303862950
2025-03-25,1.9999996656589145,1.9986194424477426,2.0015554248574143,46303862950
2025-03-26,1.9999996656589147,1.9984741557931196,2.001631020234901,46303862950
2025-03-27,1.999999665658915,1.9983337141308875,2.0018127811024584,46303862950
2025-03-28,1.9999996656589154,1.9981175465789542,2.001968654335348,46303862950
2025-03-29,1.9999996656589156,1.9979254997313785,2.0021347107987975,46303862950
2025-03-30,1.9999996656589158,1.9977620893627253,2.0022789149254874,46303862950
2025-03-31,1.9999996656589163,1.997575996551194,2.0023897812291116,46303862950
2025-03-04,5.434594712288739,1.4286357614329293,9.064933145654573,46303877432
2025-03-05,4.865590756422694,0.8368238976701635,9.108060772052088,46303877432
2025-03-06,4.296586800556636,0.16920315277124323,8.85523239936338,46303877432
2025-03-07,3.727582844690591,-0.4739244343909335,7.844796720661715,46303877432
2025-03-08,3.1585788888245467,-1.375304401988048,7.21696688010407,46303877432
2025-03-09,2.5895749329585023,-1.5867929427837117,6.847957869274728,46303877432
2025-03-10,2.020570977092458,-1.6135783430727346,5.933041669731805,46303877432
2025-03-11,1.4515670212264133,-2.8056348656451027,5.48932575380083,46303877432
2025-03-12,0.8825630653603618,-3.246153620595268,4.873690271163324,46303877432
2025-03-13,0.3135591094943173,-3.877274167337654,4.522401531374526,46303877432
2025-03-14,-0.25544484637172715,-4.39554516568198,4.009647100834358,46303877432
2025-03-15,-0.8244488022377716,-4.82578014155263,3.2024554189908314,46303877432
2025-03-16,-1.393452758103816,-5.446458693343779,2.7571299742461615,46303877432
2025-03-17,-1.9624567139698605,-6.205023287882061,2.151272577430218,46303877432
2025-03-18,-2.531460669835919,-6.351507510777214,1.6316940696170383,46303877432
2025-03-19,-3.1004646257019637,-7.185813635328391,0.9796975843471089,46303877432
2025-03-20,-3.669468581568008,-7.889107785354996,0.3379192674094713,46303877432
2025-03-21,-4.238472537434053,-8.367700170982342,0.09485833698679495,46303877432
2025-03-22,-4.807476493300097,-8.90399603526088,-0.6259639743715953,46303877432
